"spp","TL"
"Pteroscion peli",3.56
"Nemipteridae",NA
"Conodon nobilis",3.33
"Dentex angolensis",3.52
"Selene peruviana",4.01
"Argentina sphyraena",3.555
"Ambassidae",NA
"Sphoeroides maculatus",4.04
"Odontesthes regia",4
"Pennahia anea",3.99
"Hyporhamphus sajori",3.4
"Encrasicholina punctifer",NA
"Platycephalidae",NA
"Pentanemus quinquarius",3.56
"Leiostomus xanthurus",3.23
"Epinephelus merra",4.1
"Mugil curema",2.215
"Scophthalmus aquosus",3.72
"Gadiculus argenteus",3.505
"Gerres nigri",3.19
"Oligoplites refulgens",4.2
"Hemiramphus brasiliensis",2.54
"Channichthyidae",NA
"Cynoscion jamaicensis",3.84
"Trisopterus minutus",3.7
"Osmerus mordax",3.22
"Emmelichthyidae",NA
"Arripis georgianus",4.31
"Dicologlossa cuneata",3.32
"Ariomma indica",NA
"Sebastes viviparus",4.03
"Stromateus brasiliensis",3.4
"Diapterus auratus",2.715
"Trachurus lathami",3.63
"Rhabdosargus haffara",3.5
"Coregonus albula",3.05999994277954
"Brevoortia pectinata",3.4
"Oblada melanura",3.38
"Diplodus annularis",3.425
"Pagellus acarne",3.775
"Atule mate",3.745
"Dussumieria elopsoides",3.4
"Pleuragramma antarcticum",NA
"Pomadasys stridens",4.02
"Trematomus eulepidotus",3.32
"Peprilus paru",4.185
"Thaleichthys pacificus",3.25
"Gerres oyena",2.72
"Serranus cabrilla",3.515
"Lethrinus borbonicus",3.47000002861023
"Eucinostomus melanopterus",3.39
"Trachichthyidae",NA
"Cottidae",NA
"Cheilodactylus variegatus",3.5
"Apogonidae",NA
"Spicara maena",3.825
"Sillago sihama",3.255
"Prolatilus jugularis",3.7
"Menidia menidia",3.19
"Microgadus tomcod",3.81
"Pterothrissus belloci",NA
"Genyonemus lineatus",3.43
"Gerres oblongus",3.5
"Bothidae",NA
"Citharidae",NA
"Crenidens crenidens",2.8
"Scomberoides tol",4.305
"Caproidae",NA
"Mullus argentinae",3.45
"Lutjanus quinquelineatus",3.85
"Cephalopholis miniata",4.225
"Cyttus novaezealandiae",NA
"Holocentridae",NA
"Rioraja agassizi",NA
"Merluccius angustimanus",NA
"Alosa aestivalis",3.615
"Aphia minuta",3.1
"Trachinidae",NA
"Amphichthys cryptocentrus",3.765
"Cephalopholis hemistiktos",4.08
"Gymnocephalus cernuus",NA
"Hypomesus pretiosus",3.4300000667572
"Lutjanus kasmira",3.825
"Citharichthys sordidus",3.38
"Nematalosa nasus",2.21
"Xyrichtys novacula",3.445
"Alepes djedaba",3.3199999332428
"Uranoscopus scaber",4.38
"Mulloidichthys flavolineatus",3.65500001430511
"Lile stolifera",3.49
"Batrachoididae",NA
"Larimus breviceps",3.495
"Symphodus melops",3.35
"Lepidoperca pulchella",NA
"Ostraciidae",NA
"Barbourisia rufa",3.3
"Spicara smaris",3.08000004291534
"Percarina demidoffi",NA
"Menticirrhus saxatilis",3.56
"Orthopristis chrysoptera",3.40500005245209
"Herklotsichthys quadrimaculat.",NA
"Ctenolabrus rupestris",3.54
"Harengula thrissina",3.1
"Coelorinchus chilensis",NA
"Nemipterus randalli",NA
"Cephalopholis fulva",4.15
"Isopisthus parvipinnis",3.82
"Channichthys rhinoceratus",3.25
"Bothus pantherinus",3.5
"Peprilus simillimus",NA
"Pterygotrigla picta",4.5
"Merluccius albidus",3.95
"Archosargus rhomboidalis",2.975
"Lutjanus vitta",3.85000000476837
"Petromyzontidae",NA
"Grammoplites suppositus",3.885
"Centriscops humerosus",3.57
"Diplodus argenteus",3.13
"Champsocephalus esox",3.94
"Mugil incilis",2.005
"Pelates quadrilineatus",3.545
"Hemiramphus balao",3.78
"Blicca bjoerkna",3.12999995708466
"Centrolabrus exoletus",3.5
"Acanthurus sohal",2
"Lepidorhombus boscii",3.65
"Etmopterus spinax",4.19
"Tripterophycis gilchristi",3.03
"Serranus atricauda",4.045
"Nezumia aequalis",3.235
"Plectorhinchus macrolepis",NA
"Anchoa marinii",3.4
"Pentaceros decacanthus",NA
"Sebastes oculatus",NA
"Aplodactylus punctatus",2.02
"Pomacanthidae",NA
"Gaidropsarus ensis",3.38
"Hoplostethus mediterraneus",3.49
"Liza saliens",NA
"Scorpaena porcus",3.85
"Capromimus abbreviatus",NA
"Notopogon lilliei",NA
"Phycis chesteri",3.55
"Lepidotrigla brachyoptera",NA
"Tragulichthys jaculiferus",3.5
"Sebastes diploproa",NA
"Anchoa hepsetus",3.295
"Tautogolabrus adspersus",3.485
"Atherina hepsetus",3.24
"Malacanthus plumieri",3.605
"Nototheniops nybelini",NA
"Coris julis",3.34000000476837
"Muraenolepis microps",3.405
"Pleuronichthys decurrens",3.85
"Enchelyopus cimbrius",3.40999998092651
"Serranus scriba",3.7
"Chionodraco hamatus",3.59
"Microgadus proximus",3.58
"Notothenia neglecta",3.3
"Synodus saurus",4.405
"Menticirrhus americanus",3.5
"Clepticus parrae",3.55
"Pomatoschistus microps",3.245
"Thyrsitops lepidopoides",3.86
"Paratrachichthys trailli",3.5
"Polymixia nobilis",4.2
"Mesogobius batrachocephalus",4.2
"Borostomias antarcticus",3.6
"Lampetra fluviatilis",4.5
"Labrus merula",3.5
"Zanclorhynchus spinifer",3.285
"Gymnoscopelus nicholsi",3.265
"Pogonophryne permitini",3.29
"Chionodraco myersi",3.85
"Cirrhinus molitorella",2
